nconst,intervenant_primaryName,intervenant_primaryProfession,intervenant_birthYear,intervenant_deathYear,tmdb_id,tmdb_popularity,tmdb_profile_url,tmdb_biography_fr
nm0000717,Kareem Abdul-Jabbar,"actor,producer,writer",1947,,14414.0,0.9227,https://image.tmdb.org/t/p/w500/aMbhI6nWjU3MkUhw9IIKnJz7UiX.jpg,"Kareem Abdul-Jabbar, né Ferdinand Lewis Alcindor Jr. le 16 avril 1947 à New York, a grandi dans le quartier populaire de Harlem au sein d’une famille d’origine trinidadienne, éduqué dans la tradition catholique et imprégné de valeurs telles que l’honneur et la dignité. Fils unique, il est rapidement marqué par sa taille exceptionnelle : dès l’école primaire, il joue avec les plus grands et, à quatorze ans et mesurant déjà plus de deux mètres, il réussit à dunker. Son adolescence est ponctuée par des épisodes de confrontation sociale et l’apprentissage du basket de rue, qui forge son caractère compétiteur.

Abdul-Jabbar se distingue très tôt à la Power Memorial Academy, où il établit des records de points et de rebonds, conduisant son équipe à 71 victoires consécutives et trois titres de champion scolaire de New York. Cette période est unanimement reconnue comme l’une des meilleures carrières lycéennes de l’histoire du basket. En 1965, il intègre UCLA sous la houlette de John Wooden et y domine sans partage, remportant trois titres NCAA consécutifs de 1967 à 1969 et étant désigné à chaque fois meilleur joueur du tournoi universitaire. Son impact sur le jeu est tel que la NCAA interdit temporairement le dunk pendant son passage.

En 1969, Abdul-Jabbar est le premier choix de la draft NBA et rejoint les Milwaukee Bucks. Dès sa première saison, il s’illustre avec des statistiques impressionnantes (28,8 points, 14,5 rebonds, 4,1 passes) et est élu rookie de l’année. En 1971, il mène les Bucks au titre NBA—le seul de la franchise—et remporte au passage son premier trophée de MVP. C’est aussi à cette période qu’il se convertit à l’islam, prenant le nom de Kareem Abdul-Jabbar, en affirmant publiquement son choix spirituel à une époque où la société américaine est encore traversée par de fortes tensions raciales.

Abdul-Jabbar rejoint ensuite les Los Angeles Lakers où sa carrière prend une dimension légendaire : il y remporte cinq autres titres NBA, portant son total à six, et accumule six titres de MVP. Il participe à 19 All-Star Games, est deux fois meilleur marqueur de la ligue et détient le record de points marqués en carrière (38 387 points). Son palmarès inclut également deux titres de MVP des finales et une multitude de distinctions individuelles et collectives. Il détient huit records en playoffs et sept en All-Star Game, figurant dans les équipes des 35e et 50e anniversaires de la NBA.

Sur le plan technique, Kareem Abdul-Jabbar a révolutionné le basketball en inventant, perfectionnant puis popularisant le « sky hook », geste unique que personne n’a égalé : un tir enroulé du bras, difficile à contrer et redoutable d’efficacité, qui devient son arme fatale. Il est reconnaissable aussi par ses lunettes protectrices adoptées après une blessure à l’œil durant ses années universitaires.

Sa reconnaissance dépasse les frontières du sport : Abdul-Jabbar s’engage tout au long de sa vie dans la lutte pour les droits civiques et la promotion de la culture afro-américaine, écrivant plusieurs ouvrages et intervenant régulièrement dans le débat public. Adulé pour ses exploits sportifs, respecté pour sa force de caractère et son engagement social, Kareem Abdul-Jabbar demeure, pour beaucoup, la plus grande légende de l’histoire du basketball—un champion aux valeurs universelles et une icône dont l’influence perdure bien au-delà des terrains."
nm0001332,Robert Hays,"actor,producer,director",1947,,14416.0,0.9891,https://image.tmdb.org/t/p/w500/pqu0hSAdHGItjP0iqkbTg4Ocv9w.jpg,
nm0001878,David Zucker,"writer,producer,director",1947,,12987.0,1.4002,https://image.tmdb.org/t/p/w500/13iJccfZeC0X9WZgJnlI7ZphL7l.jpg,
nm0205727,Jon Davison,"producer,actor,miscellaneous",1949,,7723.0,1.5325,,
nm0353546,Julie Hagerty,"actress,soundtrack,archive_footage",1955,,14415.0,1.8121,https://image.tmdb.org/t/p/w500/bQZ0bcFNyE4a3GDNfYMmfO7eWMl.jpg,
nm0666309,Lorna Patterson,"actress,soundtrack,archive_footage",1956,,14418.0,0.8084,https://image.tmdb.org/t/p/w500/jQZxAev2Pb6LMPrHvwBsb7ZZQr4.jpg,
nm0958387,Jerry Zucker,"producer,writer,director",1950,,3415.0,0.8556,https://image.tmdb.org/t/p/w500/iSzdnge16GBKLkBoTM4mqUIWIxi.jpg,
nm1290293,Otto,"actor,archive_footage",1979,,,,,
nm0000558,Leslie Nielsen,"actor,producer,writer",1926,2010.0,7633.0,3.8543,https://image.tmdb.org/t/p/w500/u5vWl5dw69Nf89f905Qb5JqEVL3.jpg,"Leslie William Nielsen, OC (11 février 1926 – 28 novembre 2010) était un acteur et comédien canadien et naturalisé américain. Nielsen est apparu dans plus d'une centaine de films et 1 500 programmes de télévision au cours de sa carrière, incarnant plus de 220 personnages. Né à Regina, en Saskatchewan, Nielsen s'est enrôlé dans l'Aviation royale canadienne et a travaillé comme disc-jockey avant de recevoir une bourse d'études au Neighborhood Playhouse. Il a fait ses débuts à la télévision en 1948, puis a rapidement fait plus de 50 apparitions à la télévision deux ans plus tard. Nielsen a fait ses débuts au cinéma en 1956 et a commencé à collectionner des rôles dans des drames, des westerns et des films romantiques. Les performances de Nielsen dans les films Forbidden Planet (1956) et The Poseidon Adventure (1972) ont reçu des critiques positives en tant qu'acteur sérieux, bien qu'il soit principalement connu pour ses rôles comiques.

Bien que la carrière d'acteur de Nielsen ait traversé une variété de genres à la télévision et au cinéma, son interprétation impassible dans Y a-t-il un pilote dans l'avion (1980) a marqué un tournant dans sa carrière, un tournant qui ferait de lui, selon les mots du critique de cinéma Roger Ebert, « l'Olivier des parodies ». Nielsen a connu un succès supplémentaire avec la série de films The Naked Gun (1988-1994), basée sur une série télévisée de courte durée Police Squad! dans laquelle il avait joué plus tôt. Son interprétation de personnages sérieux apparemment inconscients (et complices) de leur environnement absurde lui a valu une réputation de comédien. Au cours des dernières années de sa carrière, Nielsen est apparu dans de nombreux films parodiques et parodiques, dont beaucoup ont été mal accueillis par la critique, mais ont bien fonctionné au box-office et dans les médias nationaux. Nielsen s'est marié quatre fois et a eu deux filles de son second mariage. Il a été récompensé par de nombreux prix tout au long de sa carrière et a été intronisé aux Walks of Fame du Canada et d'Hollywood."
nm0000720,Jim Abrahams,"writer,producer,director",1944,2024.0,12936.0,0.4796,https://image.tmdb.org/t/p/w500/22B24mvWEkorhoxEOPCxNcYdcTX.jpg,
