tconst,nconst
tt0080339,nm0000717
tt0080339,nm0001332
tt0080339,nm0001878
tt0080339,nm0205727
tt0080339,nm0353546
tt0080339,nm0666309
tt0080339,nm0958387
tt0080339,nm1290293
tt0080339,nm0000558
tt0080339,nm0000720
tt0080339,nm0000978
tt0080339,nm0336335
tt0080339,nm0821041
tt0080339,nm0835992
tt0080684,nm0000148
tt0080684,nm0000355
tt0080684,nm0000568
tt0080684,nm0001850
tt0080684,nm0564768
tt0080684,nm0000027
tt0080684,nm0000402
tt0080684,nm0001190
tt0080684,nm0048652
tt0080684,nm0449984
tt0080684,nm0476030
tt0080684,nm0562679
tt0080889,nm0001832
tt0080889,nm0559880
tt0080889,nm0000527
tt0080889,nm0000885
tt0080889,nm0007042
tt0080889,nm0048468
tt0080889,nm0201089
tt0080889,nm0413559
tt0080889,nm0623768
tt0080889,nm0731175
tt0080889,nm0765488
tt0081505,nm0000040
tt0081505,nm0001079
tt0081505,nm0001167
tt0081505,nm0067672
tt0081505,nm0123748
tt0081505,nm0413271
tt0081505,nm0625167
tt0081505,nm0832104
tt0081505,nm0877185
tt0081505,nm0000197
tt0081505,nm0515950
tt0081554,nm0000095
tt0081554,nm0001648
tt0081554,nm0056763
tt0081554,nm0339086
tt0081554,nm0363888
tt0081554,nm0745232
tt0081554,nm0827663
tt0081554,nm0942195
tt0081554,nm0359834
tt0081554,nm0731634
tt0082085,nm0533979
tt0082085,nm0573688
tt0082085,nm0000237
tt0082085,nm0000262
tt0082085,nm0000361
tt0082085,nm0001240
tt0082085,nm0001475
tt0082085,nm0032640
tt0082085,nm0101972
tt0082085,nm0561903
tt0082182,nm0479628
tt0082182,nm0520328
tt0082182,nm0053617
tt0082182,nm0284974
tt0082182,nm0594624
tt0082182,nm0643580
tt0082182,nm0654767
tt0082182,nm0734000
tt0082182,nm0786891
tt0082182,nm0797531
tt0082269,nm0000894
tt0082269,nm0078109
tt0082269,nm0264429
tt0082269,nm0273061
tt0082269,nm0282505
tt0082269,nm0029268
tt0082269,nm0092184
tt0082269,nm0201462
tt0082269,nm0603398
tt0082340,nm0000105
tt0082340,nm0000621
tt0082340,nm0040662
tt0082340,nm0290581
tt0082340,nm0399530
tt0082340,nm0000308
tt0082340,nm0000587
tt0082340,nm0001765
tt0082340,nm0001812
tt0082340,nm0005002
tt0082340,nm0194234
tt0082406,nm0000621
tt0082406,nm0242098
tt0082406,nm0001682
tt0082406,nm0016776
tt0082406,nm0047440
tt0082406,nm0048147
tt0082406,nm0075859
tt0082406,nm0125426
tt0082406,nm0275835
tt0082406,nm0570615
tt0082406,nm0634282
tt0082406,nm0828245
tt0082933,nm0000254
tt0082933,nm0000554
tt0082933,nm0294633
tt0082933,nm0493391
tt0082933,nm0071502
tt0082933,nm0141380
tt0082933,nm0240268
tt0082933,nm0388682
tt0082933,nm0958558
tt0082971,nm0000148
tt0082971,nm0000229
tt0082971,nm0000261
tt0082971,nm0000547
tt0082971,nm0001891
tt0082971,nm0293550
tt0082971,nm0434759
tt0082971,nm0550881
tt0082971,nm0722636
tt0082971,nm0846004
tt0082971,nm0001186
tt0082971,nm0479951
tt0083658,nm0000442
tt0083658,nm0001397
tt0083658,nm0001826
tt0083658,nm0877185
tt0083658,nm0000148
tt0083658,nm0000435
tt0083658,nm0000631
tt0083658,nm0001579
tt0083658,nm0761836
tt0083866,nm0000106
tt0083866,nm0000143
tt0083866,nm0000229
tt0083866,nm0001075
tt0083866,nm0001367
tt0083866,nm0001794
tt0083866,nm0296892
tt0083866,nm0534085
tt0083866,nm0551502
tt0083866,nm0908914
tt0083907,nm0000600
tt0083907,nm0048260
tt0083907,nm0132257
tt0083907,nm0762445
tt0083907,nm0849964
tt0083908,nm0000051
tt0083908,nm0000945
tt0083908,nm0001522
tt0083908,nm0001671
tt0083908,nm0001749
tt0083908,nm0001811
tt0083908,nm0086780
tt0083908,nm0165551
tt0083908,nm0357891
tt0083908,nm0587249
tt0083908,nm0703615
tt0083908,nm0329545
tt0083944,nm0001077
tt0083944,nm0001133
tt0083944,nm0401969
tt0083944,nm0467646
tt0083944,nm0571853
tt0083944,nm0572897
tt0083944,nm0823630
tt0083944,nm0000230
tt0083944,nm0000325
tt0083944,nm0611889
tt0083944,nm0847999
tt0084340,nm0099371
tt0084340,nm0127682
tt0084340,nm0193191
tt0084340,nm0419838
tt0084340,nm0099677
tt0084340,nm0138405
tt0084340,nm0396136
tt0084340,nm0496614
tt0084340,nm0893341
tt0084649,nm0000696
tt0084649,nm0001394
tt0084649,nm0089940
tt0084649,nm0294956
tt0084649,nm0325776
tt0084649,nm0001017
tt0084649,nm0001123
tt0084649,nm0001147
tt0084649,nm0045968
tt0084649,nm0366946
tt0084649,nm0539395
tt0084787,nm0000621
tt0084787,nm0141953
tt0084787,nm0166359
tt0084787,nm0202966
tt0084787,nm0540595
tt0084787,nm0557956
tt0084787,nm0000979
tt0084787,nm0246004
tt0084787,nm0356251
tt0084787,nm0595567
tt0084787,nm0877274
tt0084865,nm0001175
tt0084865,nm0001258
tt0084865,nm0011407
tt0084865,nm0036170
tt0084865,nm0440090
tt0084865,nm0696481
tt0084865,nm0730425
tt0084865,nm0823174
tt0084865,nm1229791
tt0084865,nm0000267
tt0084865,nm0000690
tt0084865,nm0722636
tt0084899,nm0001531
tt0084899,nm0205727
tt0084899,nm0256228
tt0084899,nm0485713
tt0084899,nm0662321
tt0084899,nm0917136
tt0084899,nm0002087
tt0084899,nm0064065
tt0084899,nm0588709
tt0085995,nm0000331
tt0085995,nm0000350
tt0085995,nm0001309
tt0085995,nm0001642
tt0085995,nm0005077
tt0085995,nm0057654
tt0085995,nm0236519
tt0085995,nm0283565
tt0085995,nm0000601
tt0085995,nm0102787
tt0085995,nm0168042
tt0086066,nm0000129
tt0086066,nm0000178
tt0086066,nm0000338
tt0086066,nm0000369
tt0086066,nm0000389
tt0086066,nm0000507
tt0086066,nm0001367
tt0086066,nm0001494
tt0086066,nm0308161
tt0086066,nm0000664
tt0086066,nm0292875
tt0086066,nm0740407
tt0086190,nm0000148
tt0086190,nm0000355
tt0086190,nm0000568
tt0086190,nm0001519
tt0086190,nm0001850
tt0086190,nm0443599
tt0086190,nm0564768
tt0086190,nm0000402
tt0086190,nm0000469
tt0086190,nm0549658
tt0086190,nm0562679
tt0086190,nm0789970
tt0086250,nm0000199
tt0086250,nm0000201
tt0086250,nm0000361
tt0086250,nm0000719
tt0086250,nm0000874
tt0086250,nm0001512
tt0086250,nm0005162
tt0086250,nm0106840
tt0086250,nm0173125
tt0086250,nm0757774
tt0086250,nm0791502
tt0086250,nm0950867
tt0086420,nm0025857
tt0086420,nm0344641
tt0086420,nm0814718
tt0086420,nm0001945
